451,1175
642,1220
820,1263
977,1301
1129,1337
1262,1369
1391,1404
1503,1428
1585,1432
1698,1403
1816,1367
1952,1335
2102,1297
2249,1258
2418,1212
2596,1168
453,1380
643,1419
817,1452
980,1482
1129,1509
1265,1537
1390,1562
1508,1583
1586,1586
1703,1562
1819,1533
1957,1506
2103,1476
2255,1442
2417,1404
2596,1364
454,1591
644,1617
820,1642
982,1665
1132,1685
1267,1706
1393,1725
1511,1743
1588,1745
1705,1725
1823,1701
1960,1679
2108,1656
2259,1629
2421,1598
2598,1570
455,1797
645,1817
822,1834
985,1849
1133,1863
1270,1876
1394,1890
1513,1900
1591,1902
1707,1888
1827,1872
1966,1854
2112,1836
2262,1816
2425,1795
2603,1770
455,2009
646,2017
822,2026
984,2033
1135,2041
1272,2048
1396,2054
1515,2061
1593,2062
1710,2052
1831,2040
1970,2030
2115,2018
2266,2005
2430,1991
2608,1979
455,2218
647,2219
822,2219
984,2219
1135,2219
1274,2219
1399,2219
1517,2219
1596,2220
1714,2216
1837,2211
1974,2206
2118,2200
2270,2194
2435,2189
2615,2181
454,2433
646,2422
823,2414
984,2406
1136,2399
1276,2393
1401,2387
1518,2382
1598,2382
1717,2382
1842,2382
1978,2383
2120,2385
2273,2386
2440,2388
2622,2392
452,2646
645,2628
824,2610
986,2594
1138,2580
1277,2567
1403,2555
1520,2543
1601,2542
1719,2549
1846,2555
1980,2562
2121,2570
2276,2579
2446,2589
2629,2598
449,2866
645,2835
827,2809
988,2784
1138,2762
1279,2743
1405,2724
1522,2708
1604,2707
1721,2717
1847,2730
1982,2743
2123,2759
2281,2775
2455,2791
2640,2813
446,3082
643,3044
829,3008
988,2976
1144,2945
1280,2919
1408,2893
1523,2871
1607,2868
1721,2885
1849,2905
1981,2924
2128,2947
2287,2970
2464,2995
2650,3023
