234,0,280
206,0,280
178,0,280
150,0,280
122,0,280
94,0,280
66,0,280
38,0,280
0,37,280
0,65,280
0,93,280
0,121,280
0,149,280
0,177,280
0,205,280
0,233,280
234,0,252
206,0,252
178,0,252
150,0,252
122,0,252
94,0,252
66,0,252
38,0,252
0,37,252
0,65,252
0,93,252
0,121,252
0,149,252
0,177,252
0,205,252
0,233,252
234,0,224
206,0,224
178,0,224
150,0,224
122,0,224
94,0,224
66,0,224
38,0,224
0,37,224
0,65,224
0,93,224
0,121,224
0,149,224
0,177,224
0,205,224
0,233,224
234,0,196
206,0,196
178,0,196
150,0,196
122,0,196
94,0,196
66,0,196
38,0,196
0,37,196
0,65,196
0,93,196
0,121,196
0,149,196
0,177,196
0,205,196
0,233,196
234,0,168
206,0,168
178,0,168
150,0,168
122,0,168
94,0,168
66,0,168
38,0,168
0,37,168
0,65,168
0,93,168
0,121,168
0,149,168
0,177,168
0,205,168
0,233,168
234,0,140
206,0,140
178,0,140
150,0,140
122,0,140
94,0,140
66,0,140
38,0,140
0,37,140
0,65,140
0,93,140
0,121,140
0,149,140
0,177,140
0,205,140
0,233,140
234,0,112
206,0,112
178,0,112
150,0,112
122,0,112
94,0,112
66,0,112
38,0,112
0,37,112
0,65,112
0,93,112
0,121,112
0,149,112
0,177,112
0,205,112
0,233,112
234,0,84
206,0,84
178,0,84
150,0,84
122,0,84
94,0,84
66,0,84
38,0,84
0,37,84
0,65,84
0,93,84
0,121,84
0,149,84
0,177,84
0,205,84
0,233,84
234,0,56
206,0,56
178,0,56
150,0,56
122,0,56
94,0,56
66,0,56
38,0,56
0,37,56
0,65,56
0,93,56
0,121,56
0,149,56
0,177,56
0,205,56
0,233,56
234,0,28
206,0,28
178,0,28
150,0,28
122,0,28
94,0,28
66,0,28
38,0,28
0,37,28
0,65,28
0,93,28
0,121,28
0,149,28
0,177,28
0,205,28
0,233,28
